document file-resources\defaultState.txt
image file-resources\Map.jpg
imageSize-2414.7772047360004 2414.7772047360004
Plot-name:Asturias government:Asturias -Leon 
x 455 y 109
x 455 y 109
x 460 y 109
x 460 y 109
x 470 y 102
x 470 y 102
x 477 y 109
x 477 y 109
x 517 y 109
x 517 y 109
x 572 y 109
x 572 y 109
x 587 y 102
x 587 y 102
x 594 y 109
x 594 y 109
x 617 y 109
x 617 y 109
x 622 y 102
x 622 y 102
x 634 y 102
x 634 y 102
x 651 y 87
x 651 y 87
x 664 y 97
x 664 y 97
x 679 y 109
x 679 y 109
x 691 y 114
x 691 y 114
x 746 y 114
x 746 y 114
x 753 y 124
x 753 y 124
x 778 y 126
x 778 y 126
x 796 y 129
x 796 y 129
x 821 y 131
x 821 y 131
x 833 y 141
x 833 y 141
x 858 y 144
x 858 y 144
x 873 y 146
x 873 y 146
x 873 y 161
x 873 y 161
x 851 y 166
x 851 y 166
x 838 y 179
x 838 y 179
x 821 y 191
x 821 y 191
x 811 y 176
x 811 y 176
x 796 y 189
x 796 y 189
x 776 y 189
x 776 y 189
x 776 y 206
x 776 y 206
x 758 y 209
x 758 y 209
x 741 y 218
x 741 y 218
x 729 y 216
x 729 y 216
x 721 y 218
x 721 y 218
x 706 y 228
x 706 y 228
x 686 y 228
x 686 y 228
x 681 y 221
x 681 y 221
x 674 y 226
x 674 y 226
x 666 y 233
x 666 y 233
x 654 y 238
x 654 y 238
x 639 y 236
x 639 y 236
x 629 y 221
x 629 y 221
x 617 y 218
x 617 y 218
x 607 y 228
x 607 y 228
x 582 y 228
x 582 y 228
x 562 y 226
x 562 y 226
x 557 y 233
x 557 y 233
x 547 y 246
x 547 y 246
x 534 y 251
x 534 y 251
x 502 y 251
x 502 y 251
x 497 y 261
x 497 y 261
x 485 y 251
x 485 y 251
x 475 y 238
x 475 y 238
x 460 y 231
x 460 y 231
x 460 y 218
x 460 y 218
x 475 y 213
x 475 y 213
x 485 y 206
x 485 y 206
x 485 y 196
x 485 y 196
x 467 y 201
x 467 y 201
x 460 y 196
x 460 y 196
x 460 y 184
x 460 y 184
x 447 y 179
x 447 y 179
x 447 y 166
x 447 y 166
x 435 y 149
x 435 y 149
x 430 y 134
x 430 y 134
x 442 y 129
x 442 y 129
x 447 y 121
x 447 y 121
x 455 y 111
x 455 y 111
x 455 y 111
x 455 y 111
Plot-
x 452 y 109
x 452 y 109
x 415 y 109
x 415 y 109
x 405 y 97
x 405 y 97
x 393 y 82
x 393 y 82
x 373 y 69
x 373 y 69
x 360 y 82
x 360 y 82
x 350 y 72
x 350 y 72
x 340 y 82
x 340 y 82
x 333 y 104
x 333 y 104
x 330 y 126
x 330 y 126
x 325 y 144
x 325 y 144
x 311 y 149
x 311 y 149
x 306 y 166
x 306 y 166
x 301 y 179
x 301 y 179
x 293 y 196
x 293 y 196
x 293 y 213
x 293 y 213
x 301 y 218
x 301 y 218
x 301 y 238
x 301 y 238
x 301 y 258
x 301 y 258
x 293 y 271
x 293 y 271
x 288 y 278
x 288 y 278
x 288 y 301
x 288 y 301
x 296 y 306
x 296 y 306
x 306 y 308
x 306 y 308
x 303 y 323
x 303 y 323
x 301 y 343
x 301 y 343
x 306 y 355
x 306 y 355
x 311 y 360
x 311 y 360
x 330 y 370
x 330 y 370
x 343 y 380
x 343 y 380
x 360 y 383
x 360 y 383
x 370 y 380
x 370 y 380
x 385 y 373
x 385 y 373
x 413 y 380
x 413 y 380
x 415 y 395
x 415 y 395
x 423 y 385
x 423 y 385
x 430 y 370
x 430 y 370
x 437 y 363
x 437 y 363
x 445 y 343
x 445 y 343
x 447 y 325
x 447 y 325
x 447 y 301
x 447 y 301
x 460 y 291
x 460 y 291
x 475 y 278
x 475 y 278
x 482 y 261
x 482 y 261
x 477 y 246
x 477 y 246
x 475 y 236
x 475 y 236
x 460 y 231
x 460 y 231
x 460 y 218
x 460 y 218
x 472 y 213
x 472 y 213
x 482 y 204
x 482 y 204
x 485 y 196
x 485 y 196
x 482 y 196
x 482 y 196
x 470 y 201
x 470 y 201
x 460 y 196
x 460 y 196
x 460 y 186
x 460 y 186
x 447 y 179
x 447 y 179
x 447 y 171
x 447 y 171
x 440 y 161
x 440 y 161
x 435 y 154
x 435 y 154
x 430 y 134
x 430 y 134
x 442 y 129
x 442 y 129
x 447 y 121
x 447 y 121
x 455 y 109
x 455 y 109
x 455 y 109
x 455 y 109
Plot-
x 350 y 74
x 350 y 74
x 340 y 64
x 340 y 64
x 325 y 72
x 325 y 72
x 311 y 84
x 311 y 84
x 311 y 67
x 311 y 67
x 303 y 69
x 303 y 69
x 296 y 74
x 296 y 74
x 278 y 79
x 278 y 79
x 276 y 92
x 276 y 92
x 258 y 99
x 258 y 99
x 236 y 111
x 236 y 111
x 233 y 134
x 233 y 134
x 243 y 134
x 243 y 134
x 258 y 126
x 258 y 126
x 251 y 136
x 251 y 136
x 263 y 141
x 263 y 141
x 258 y 149
x 258 y 149
x 253 y 166
x 253 y 166
x 248 y 156
x 248 y 156
x 243 y 156
x 243 y 156
x 238 y 146
x 238 y 146
x 228 y 154
x 228 y 154
x 216 y 154
x 216 y 154
x 204 y 161
x 204 y 161
x 184 y 166
x 184 y 166
x 171 y 171
x 171 y 171
x 156 y 166
x 156 y 166
x 146 y 159
x 146 y 159
x 136 y 166
x 136 y 166
x 126 y 171
x 126 y 171
x 131 y 176
x 131 y 176
x 131 y 184
x 131 y 184
x 116 y 186
x 116 y 186
x 104 y 191
x 104 y 191
x 94 y 191
x 94 y 191
x 87 y 204
x 87 y 204
x 79 y 216
x 79 y 216
x 72 y 226
x 72 y 226
x 79 y 231
x 79 y 231
x 79 y 238
x 79 y 238
x 72 y 251
x 72 y 251
x 72 y 261
x 72 y 261
x 84 y 251
x 84 y 251
x 97 y 251
x 97 y 251
x 99 y 268
x 99 y 268
x 97 y 278
x 97 y 278
x 104 y 291
x 104 y 291
x 111 y 281
x 111 y 281
x 126 y 281
x 126 y 281
x 141 y 276
x 141 y 276
x 121 y 293
x 121 y 293
x 114 y 308
x 114 y 308
x 111 y 323
x 111 y 323
